SeqName: ORFS:ptns	Description hits against Uniprotkb Nematodes	Length	#Hits	e-Value	sim mean										
comp16130_c0_seq1|m.26013	tr:u6piz6_haecou6piz6 sh2 motif and socs protein domain containing protein os=haemonchus contortus gn=hcoi_01547700 pe=4 sv=1	406	20	1.2E-127	73.8%										
comp16131_c0_seq1|m.26015	---NA---	208	0	-	-										
comp16131_c0_seq4|m.26018	tr:a0a0d8y731_dicvia0a0d8y731 d-tyrosyl-trna deacylase os=dictyocaulus viviparus gn=dicviv_01818 pe=4 sv=1	646	20	0.0E0	74.35%										
comp16131_c0_seq5|m.26019	---NA---	212	0	-	-										
comp16131_c0_seq6|m.26020	---NA---	194	0	-	-										
comp16133_c0_seq1|m.26024	tr:e3mb47_caeree3mb47 cre-pqn-34 protein os=caenorhabditis remanei gn=cre-pqn-34 pe=4 sv=1	1029	20	0.0E0	72.4%										
comp16133_c0_seq2|m.26025	tr:e3mb47_caeree3mb47 cre-pqn-34 protein os=caenorhabditis remanei gn=cre-pqn-34 pe=4 sv=1	1189	20	0.0E0	65.35%										
comp16133_c0_seq3|m.26026	tr:e3mb47_caeree3mb47 cre-pqn-34 protein os=caenorhabditis remanei gn=cre-pqn-34 pe=4 sv=1	1154	20	0.0E0	65.3%										
comp16133_c0_seq4|m.26027	tr:e3mb47_caeree3mb47 cre-pqn-34 protein os=caenorhabditis remanei gn=cre-pqn-34 pe=4 sv=1	994	20	0.0E0	72.4%										
comp16134_c0_seq2|m.26028	tr:a0a0d8y2r5_dicvia0a0d8y2r5 helicase protein os=dictyocaulus viviparus gn=dicviv_03394 pe=4 sv=1	685	20	0.0E0	71.1%										
comp16134_c0_seq3|m.26030	tr:a0a0d8y2r5_dicvia0a0d8y2r5 helicase protein os=dictyocaulus viviparus gn=dicviv_03394 pe=4 sv=1	235	20	4.4E-100	80.15%										
comp16134_c0_seq3|m.26029	tr:a0a0d8y2r5_dicvia0a0d8y2r5 helicase protein os=dictyocaulus viviparus gn=dicviv_03394 pe=4 sv=1	462	20	0.0E0	70.1%										
comp16135_c0_seq1|m.26031	tr:u6pap4_haecou6pap4 cytoskeleton-associated protein domain containing protein os=haemonchus contortus gn=hcoi_00968300 pe=4 sv=1	445	20	5.3E-132	63.5%										
comp16135_c0_seq2|m.26032	tr:u6pap4_haecou6pap4 cytoskeleton-associated protein domain containing protein os=haemonchus contortus gn=hcoi_00968300 pe=4 sv=1	646	20	0.0E0	62.4%										
comp16135_c0_seq3|m.26035	tr:u6pap4_haecou6pap4 cytoskeleton-associated protein domain containing protein os=haemonchus contortus gn=hcoi_00968300 pe=4 sv=1	673	20	0.0E0	62.75%										
comp16135_c0_seq6|m.26046	tr:u6pap4_haecou6pap4 cytoskeleton-associated protein domain containing protein os=haemonchus contortus gn=hcoi_00968300 pe=4 sv=1	418	20	2.0E-134	61.55%										
comp16137_c0_seq1|m.26053	---NA---	143	0	-	-										
comp16137_c0_seq4|m.26056	---NA---	145	0	-	-										
comp16139_c0_seq1|m.26059	tr:a0a0d8y467_dicvia0a0d8y467 domain protein os=dictyocaulus viviparus gn=dicviv_04496 pe=4 sv=1	845	20	0.0E0	66.9%										
comp16139_c0_seq2|m.26060	tr:a0a0d8y467_dicvia0a0d8y467 domain protein os=dictyocaulus viviparus gn=dicviv_04496 pe=4 sv=1	866	20	0.0E0	65.55%										
comp1613_c0_seq1|m.308	tr:a0a0d8y7d2_dicvia0a0d8y7d2 tho complex subunit 7 os=dictyocaulus viviparus gn=dicviv_01958 pe=4 sv=1	215	20	5.5E-93	77.85%										
comp16140_c0_seq2|m.26061	tr:u6pva0_haecou6pva0 ribonuclease caf1 domain containing protein os=haemonchus contortus gn=hcoi_01908700 pe=4 sv=1	411	20	2.0E-172	69.8%										
comp16140_c0_seq3|m.26062	tr:u6pva0_haecou6pva0 ribonuclease caf1 domain containing protein os=haemonchus contortus gn=hcoi_01908700 pe=4 sv=1	294	20	6.7E-129	71.4%										
comp16140_c0_seq4|m.26063	tr:u6pva0_haecou6pva0 ribonuclease caf1 domain containing protein os=haemonchus contortus gn=hcoi_01908700 pe=4 sv=1	466	20	0.0E0	69.4%										
comp16141_c1_seq1|m.26064	tr:u6nv51_haecou6nv51 rna recognition motif domain containing protein os=haemonchus contortus gn=hcoi_00721300 pe=4 sv=1	135	20	2.1E-59	87.5%										
comp16143_c0_seq4|m.26074	tr:u6pys4_haecou6pys4 dix and dishevelled protein and pdz and pleckstrin g-protein domain containing protein os=haemonchus contortus gn=hcoi_00137200 pe=4 sv=1	413	20	0.0E0	90.35%										
comp16144_c0_seq2|m.26081	tr:q94276_caeelq94276 os=caenorhabditis elegans gn= pe=1 sv=2	107	17	3.0E-35	77%										
comp16144_c0_seq3|m.26082	tr:q94276_caeelq94276 os=caenorhabditis elegans gn= pe=1 sv=2	152	20	1.4E-59	74.4%										
comp16145_c0_seq1|m.26084	tr:u6p7y5_haecou6p7y5 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_25 os=haemonchus contortus gn=hcoi_00420400 pe=4 sv=1	223	20	1.1E-104	86.65%										
comp16145_c0_seq1|m.26083	tr:a0a0d6li05_9bilaa0a0d6li05 endoribonuclease os=ancylostoma ceylanicum gn=anccey_10116 pe=4 sv=1	567	20	0.0E0	68.15%										
comp16147_c0_seq1|m.26090	tr:a0a0d8y5b9_dicvia0a0d8y5b9 snf7 family protein os=dictyocaulus viviparus gn=dicviv_04086 pe=4 sv=1	157	20	1.8E-76	76%										
comp16147_c0_seq2|m.26091	tr:a0a0d8y5b9_dicvia0a0d8y5b9 snf7 family protein os=dictyocaulus viviparus gn=dicviv_04086 pe=4 sv=1	427	20	0.0E0	74.05%										
comp16147_c0_seq3|m.26092	tr:a0a0d8y5b9_dicvia0a0d8y5b9 snf7 family protein os=dictyocaulus viviparus gn=dicviv_04086 pe=4 sv=1	386	20	0.0E0	68.55%										
comp16149_c0_seq1|m.26094	tr:u6p1t1_haecou6p1t1 leucine-rich repeat and pdz domain containing protein os=haemonchus contortus gn=hcoi_00624600 pe=4 sv=1	558	20	0.0E0	81.3%										
comp16149_c0_seq2|m.26095	tr:u6p1t1_haecou6p1t1 leucine-rich repeat and pdz domain containing protein os=haemonchus contortus gn=hcoi_00624600 pe=4 sv=1	1344	20	0.0E0	76.3%										
comp16149_c0_seq3|m.26100	---NA---	104	0	-	-										
comp16149_c0_seq3|m.26098	tr:u6p1t1_haecou6p1t1 leucine-rich repeat and pdz domain containing protein os=haemonchus contortus gn=hcoi_00624600 pe=4 sv=1	1280	20	0.0E0	76%										
comp16150_c0_seq1|m.26101	tr:a8xwm6_caebra8xwm6 protein cbg19875 os=caenorhabditis briggsae gn=cbg19875 pe=4 sv=1	434	20	0.0E0	66.65%										
comp16154_c0_seq1|m.26109	tr:a0a0d8y5m1_dicvia0a0d8y5m1 krr1 small subunit processome component os=dictyocaulus viviparus gn=dicviv_01633 pe=3 sv=1	165	20	1.1E-84	90.45%										
comp16154_c0_seq2|m.26110	tr:u6nn40_haecou6nn40 krr1 small subunit processome component os=haemonchus contortus gn=hcoi_02037600 pe=3 sv=1	364	20	0.0E0	87.15%										
comp16156_c0_seq1|m.26112	tr:q9xvu8_caeelq9xvu8 atn- isoform b os=caenorhabditis elegans gn=atn-1 pe=1 sv=1	297	20	5.2E-165	87.25%										
comp16156_c0_seq2|m.26113	tr:u6nxl4_haecou6nxl4 calponin actin-binding and spectrin repeat and ef-hand domain containing protein os=haemonchus contortus gn=hcoi_00738500 pe=4 sv=1	274	20	1.2E-151	91.9%										
comp16156_c0_seq3|m.26114	tr:a0a0d6m925_9bilaa0a0d6m925 alpha-actinin-4 family protein os=ancylostoma ceylanicum gn=anccey_04594 pe=4 sv=1	635	20	0.0E0	91.6%										
comp16157_c0_seq1|m.26116	tr:q9u1p9_caeelq9u1p9 os=caenorhabditis elegans gn= pe=1 sv=2	234	20	2.4E-91	73.45%										
comp16158_c0_seq2|m.26123	tr:u6niy0_haecou6niy0 zinc finger domain containing protein os=haemonchus contortus gn=hcoi_00175600 pe=4 sv=1	386	20	3.8E-111	54%										
comp16159_c0_seq1|m.26127	tr:a0a0d8y546_dicvia0a0d8y546 trna nucleotidyltransferase poly polymerase family protein os=dictyocaulus viviparus gn=dicviv_04217 pe=3 sv=1	224	20	5.8E-100	68.35%										
comp1615_c0_seq1|m.310	tr:u6pi54_haecou6pi54 cbn-insc-1 protein os=haemonchus contortus gn=hcoi_01802500 pe=4 sv=1	138	4	3.2E-5	52%										
comp1615_c0_seq2|m.311	tr:u6pi54_haecou6pi54 cbn-insc-1 protein os=haemonchus contortus gn=hcoi_01802500 pe=4 sv=1	229	2	1.2E-15	43%										
comp16160_c0_seq1|m.26129	tr:u1me70_ascsuu1me70 proline-rich protein 12 os=ascaris suum gn=asu_08141 pe=4 sv=1	1079	20	0.0E0	66.6%										
comp16160_c0_seq2|m.26133	tr:u6p6f7_haecou6p6f7 protein eor- isoform a os=haemonchus contortus gn=hcoi_00898100 pe=4 sv=1	418	19	7.3E-161	58.58%										
comp16160_c0_seq4|m.26140	tr:f1kr44_ascsuf1kr44 proline-rich protein 12 os=ascaris suum pe=2 sv=1	1064	20	0.0E0	66.4%										
comp16163_c0_seq1|m.26150	---NA---	106	0	-	-										
comp16163_c0_seq2|m.26151	tr:o62325_caeelo62325 rbm-28 os=caenorhabditis elegans gn=rbm-28 pe=1 sv=2	520	20	0.0E0	70.7%										
comp16163_c0_seq3|m.26154	tr:u6pvn5_haecou6pvn5 rna recognition motif domain containing protein os=haemonchus contortus gn=hcoi_01984600 pe=4 sv=1	203	20	4.1E-57	76.2%										
comp16163_c0_seq5|m.26155	tr:o62325_caeelo62325 rbm-28 os=caenorhabditis elegans gn=rbm-28 pe=1 sv=2	646	20	0.0E0	70.3%										
comp16166_c0_seq3|m.26167	tr:u6p8g2_haecou6p8g2 zinc finger and transketolase domain containing protein os=haemonchus contortus gn=hcoi_01028700 pe=4 sv=1	289	20	7.5E-143	87%										
comp16169_c0_seq2|m.26171	tr:w2svb5_necamw2svb5 horma domain protein os=necator americanus gn=necame_00778 pe=4 sv=1	150	20	3.7E-51	69.45%										
comp16169_c0_seq3|m.26172	tr:a0a0d8yay1_dicvia0a0d8yay1 horma domain protein os=dictyocaulus viviparus gn=dicviv_00667 pe=4 sv=1	208	20	5.5E-82	69.05%										
comp16169_c0_seq4|m.26173	tr:w2svb5_necamw2svb5 horma domain protein os=necator americanus gn=necame_00778 pe=4 sv=1	201	20	1.4E-73	68.55%										
comp1616_c0_seq1|m.312	tr:a0a0d8xxx9_dicvia0a0d8xxx9 dna helicase os=dictyocaulus viviparus gn=dicviv_05257 pe=3 sv=1	875	20	0.0E0	88.2%										
comp16171_c0_seq2|m.26179	tr:a0a0d8xgd2_dicvia0a0d8xgd2 gata zinc finger os=dictyocaulus viviparus gn=dicviv_11237 pe=4 sv=1	923	20	0.0E0	69.35%										
comp16172_c0_seq1|m.26183	tr:u6p937_haecou6p937 zinc finger protein os=haemonchus contortus gn=hcoi_01287300 pe=4 sv=1	517	20	0.0E0	74.25%										
comp16172_c0_seq2|m.26184	tr:u6p937_haecou6p937 zinc finger protein os=haemonchus contortus gn=hcoi_01287300 pe=4 sv=1	1071	20	0.0E0	73%										
comp16172_c0_seq3|m.26185	tr:u6p937_haecou6p937 zinc finger protein os=haemonchus contortus gn=hcoi_01287300 pe=4 sv=1	579	20	0.0E0	74.45%										
comp16173_c0_seq4|m.26205	TR:A0A0B1TJF1_OESDEA0A0B1TJF1 Uncharacterized protein OS=Oesophagostomum dentatum GN=OESDEN_03831 PE=4 SV=1	146	3	2.8E-13	48.33%										
comp16173_c0_seq7|m.26219	TR:A0A0D8XIH3_DICVIA0A0D8XIH3 Uncharacterized protein OS=Dictyocaulus viviparus GN=DICVIV_09581 PE=4 SV=1	605	9	2.4E-55	53.22%										
comp16176_c0_seq1|m.26237	tr:a0a0d6ldq9_9bilaa0a0d6ldq9 dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kda subunit os=ancylostoma ceylanicum gn=anccey_10839 pe=3 sv=1	416	20	0.0E0	73.7%										
comp16176_c0_seq2|m.26240	---NA---	107	0	-	-										
comp16176_c0_seq2|m.26241	tr:a0a0c2dd23_9bilaa0a0c2dd23 leucine rich repeat-containing domain protein os=ancylostoma duodenale gn=ancduo_01919 pe=4 sv=1	100	17	8.5E-46	74.76%										
comp16177_c0_seq2|m.26245	tr:q20583_caeelq20583 os=caenorhabditis elegans gn= pe=1 sv=1	277	20	8.1E-138	77.5%										
comp16178_c0_seq3|m.26249	tr:u6nxa6_haecou6nxa6 cyclin f-box domain containing protein os=haemonchus contortus gn=hcoi_00446700 pe=4 sv=1	382	20	2.9E-113	62.15%										
comp16178_c0_seq4|m.26250	tr:u6nxa6_haecou6nxa6 cyclin f-box domain containing protein os=haemonchus contortus gn=hcoi_00446700 pe=4 sv=1	315	17	8.2E-92	64.24%										
comp16178_c0_seq5|m.26251	tr:u6nxa6_haecou6nxa6 cyclin f-box domain containing protein os=haemonchus contortus gn=hcoi_00446700 pe=4 sv=1	329	17	3.7E-92	62.59%										
comp1617_c0_seq2|m.314	tr:a0a0d6lpp3_9bilaa0a0d6lpp3 ubiquitin--protein ligase os=ancylostoma ceylanicum gn=anccey_07739 pe=4 sv=1	113	19	6.9E-26	69.42%										
comp16180_c0_seq1|m.26253	tr:a0a0d8xyv8_dicvia0a0d8xyv8 dna helicase os=dictyocaulus viviparus gn=dicviv_04816 pe=3 sv=1	363	20	0.0E0	79.2%										
comp16181_c0_seq2|m.26255	tr:u6pwg7_haecou6pwg7 protein os=haemonchus contortus gn=hcoi_00156300 pe=4 sv=1	174	13	5.6E-75	67.31%										
comp16182_c0_seq2|m.26257	tr:a0a0d8y770_dicvia0a0d8y770 folylpolyglutamate synthase os=dictyocaulus viviparus gn=dicviv_02005 pe=3 sv=1	410	20	1.3E-152	74.8%										
comp16182_c0_seq4|m.26260	---NA---	111	0	-	-										
comp16182_c0_seq4|m.26259	tr:u6pia0_haecou6pia0 protein os=haemonchus contortus gn=hcoi_01418600 pe=4 sv=1	194	20	4.1E-53	81.15%										
comp16182_c0_seq5|m.26261	tr:a0a0d8y770_dicvia0a0d8y770 folylpolyglutamate synthase os=dictyocaulus viviparus gn=dicviv_02005 pe=3 sv=1	452	20	8.2E-172	73.45%										
comp16183_c0_seq2|m.26263	tr:a0a0d8y5y9_dicvia0a0d8y5y9 zinc c4 type os=dictyocaulus viviparus gn=dicviv_02418 pe=3 sv=1	358	20	2.7E-125	70.95%										
comp16183_c0_seq3|m.26264	tr:a0a0d8y5y9_dicvia0a0d8y5y9 zinc c4 type os=dictyocaulus viviparus gn=dicviv_02418 pe=3 sv=1	331	20	2.6E-125	69.4%										
comp16184_c0_seq1|m.26265	tr:a0a0d8y4n0_dicvia0a0d8y4n0 aldolase citrate lyase family protein os=dictyocaulus viviparus gn=dicviv_02920 pe=4 sv=1	274	20	9.7E-131	85.55%										
comp16184_c0_seq4|m.26268	tr:a0a0c2gyc5_9bilaa0a0c2gyc5 aldolase citrate lyase family protein os=ancylostoma duodenale gn=ancduo_07579 pe=4 sv=1	154	20	7.6E-65	81.25%										
comp16185_c0_seq1|m.26269	tr:a0a0d6lbe5_9bilaa0a0d6lbe5 ubiquinone biosynthesis monooxygenase coq6 os=ancylostoma ceylanicum gn=anccey_11529 pe=4 sv=1	450	20	0.0E0	79.95%										
comp16185_c0_seq2|m.26270	tr:a0a0d6lbe5_9bilaa0a0d6lbe5 ubiquinone biosynthesis monooxygenase coq6 os=ancylostoma ceylanicum gn=anccey_11529 pe=4 sv=1	440	20	0.0E0	79.9%										
comp16186_c0_seq2|m.26271	tr:a0a0d8xbv4_dicvia0a0d8xbv4 enth domain protein os=dictyocaulus viviparus gn=dicviv_12883 pe=4 sv=1	154	20	8.2E-55	65.5%										
comp16187_c0_seq2|m.26274	---NA---	155	0	-	-										
comp16187_c0_seq3|m.26275	---NA---	184	0	-	-										
comp16187_c0_seq5|m.26276	tr:q9u396_caeelq9u396 os=caenorhabditis elegans gn= pe=4 sv=1	156	20	2.4E-78	68.1%										
comp16189_c0_seq1|m.26279	tr:a0a0d8xpf7_dicvia0a0d8xpf7 low-density lipoprotein receptor domain class a os=dictyocaulus viviparus gn=dicviv_09752 pe=4 sv=1	592	20	0.0E0	66.25%										
comp16189_c0_seq2|m.26281	tr:a0a0d8xpf7_dicvia0a0d8xpf7 low-density lipoprotein receptor domain class a os=dictyocaulus viviparus gn=dicviv_09752 pe=4 sv=1	592	20	0.0E0	67.85%										
comp16190_c0_seq1|m.26283	tr:a0a0d8xzi1_dicvia0a0d8xzi1 fic family protein os=dictyocaulus viviparus gn=dicviv_03795 pe=4 sv=1	118	20	6.2E-53	90.1%										
comp16190_c0_seq2|m.26285	tr:u6nnw2_haecou6nnw2 adenosine monophosphate-protein transferase os=haemonchus contortus gn=hcoi_00211300 pe=4 sv=1	189	20	3.7E-37	64.95%										
comp16191_c0_seq1|m.26291	tr:a0a0d8y918_dicvia0a0d8y918 kh domain protein os=dictyocaulus viviparus gn=dicviv_02753 pe=4 sv=1	173	20	5.7E-31	69.1%										
comp16191_c0_seq1|m.26290	tr:a0a0d8y918_dicvia0a0d8y918 kh domain protein os=dictyocaulus viviparus gn=dicviv_02753 pe=4 sv=1	352	20	5.3E-172	76.55%										
comp16191_c0_seq2|m.26292	tr:a0a0d8y918_dicvia0a0d8y918 kh domain protein os=dictyocaulus viviparus gn=dicviv_02753 pe=4 sv=1	467	20	0.0E0	74.8%										
comp16191_c0_seq3|m.26293	tr:a0a0d8y918_dicvia0a0d8y918 kh domain protein os=dictyocaulus viviparus gn=dicviv_02753 pe=4 sv=1	457	20	0.0E0	72.85%										
comp16191_c0_seq4|m.26294	tr:a0a0d8y918_dicvia0a0d8y918 kh domain protein os=dictyocaulus viviparus gn=dicviv_02753 pe=4 sv=1	342	20	4.2E-164	74.1%										
comp16193_c0_seq1|m.26300	tr:u6ptv6_haecou6ptv6 anion exchange protein os=haemonchus contortus gn=hcoi_00066700 pe=3 sv=1	145	20	1.1E-74	89.75%										
comp16193_c0_seq3|m.26305	tr:a0a0d8xxu4_dicvia0a0d8xxu4 anion exchange protein os=dictyocaulus viviparus gn=dicviv_05276 pe=3 sv=1	141	20	1.3E-65	89.95%										
comp16193_c0_seq4|m.26307	tr:a0a016vxu9_9bilaa0a016vxu9 anion exchange protein os=ancylostoma ceylanicum gn= pe=3 sv=1	581	20	0.0E0	87.85%										
comp16194_c1_seq1|m.26309	tr:u6pzw2_haecou6pzw2 transmembrane protein 39a b domain containing protein os=haemonchus contortus gn=hcoi_02120800 pe=4 sv=1	358	20	2.3E-177	77.8%										
comp16194_c1_seq2|m.26310	tr:u6pzw2_haecou6pzw2 transmembrane protein 39a b domain containing protein os=haemonchus contortus gn=hcoi_02120800 pe=4 sv=1	507	20	0.0E0	76.2%										
comp16194_c1_seq3|m.26311	tr:u6pzw2_haecou6pzw2 transmembrane protein 39a b domain containing protein os=haemonchus contortus gn=hcoi_02120800 pe=4 sv=1	123	20	3.5E-45	83.4%										
comp16195_c0_seq2|m.26316	---NA---	102	0	-	-										
comp16195_c0_seq2|m.26314	tr:u6p108_haecou6p108 nicastrin domain containing protein os=haemonchus contortus gn=hcoi_00856900 pe=4 sv=1	740	20	0.0E0	71.7%										
comp16195_c0_seq3|m.26318	---NA---	121	0	-	-										
comp16195_c0_seq6|m.26328	tr:u6p108_haecou6p108 nicastrin domain containing protein os=haemonchus contortus gn=hcoi_00856900 pe=4 sv=1	277	20	8.3E-99	77.2%										
comp16197_c0_seq1|m.26336	tr:u6pmr6_haecou6pmr6 pleckstrin homology domain containing protein os=haemonchus contortus gn=hcoi_01848300 pe=4 sv=1	1203	20	0.0E0	65.8%										
comp16197_c0_seq2|m.26338	tr:u6nvw5_haecou6nvw5 pleckstrin homology domain containing protein os=haemonchus contortus gn=hcoi_00672800 pe=4 sv=1	235	20	1.2E-101	76.35%										
comp16198_c0_seq1|m.26340	tr:u6p339_haecou6p339 cmp dcmp deaminase domain containing protein os=haemonchus contortus gn=hcoi_00674400 pe=4 sv=1	107	20	4.9E-32	83.65%										
comp16198_c0_seq2|m.26341	tr:u6p339_haecou6p339 cmp dcmp deaminase domain containing protein os=haemonchus contortus gn=hcoi_00674400 pe=4 sv=1	166	20	1.5E-61	80.55%										
comp16199_c0_seq1|m.26343	tr:u6nzw5_haecou6nzw5 protein os=haemonchus contortus gn=hcoi_00831200 pe=4 sv=1	275	20	4.4E-128	62.3%										
comp1619_c0_seq1|m.315	tr:a0a0d8xbp1_dicvia0a0d8xbp1 nudix family os=dictyocaulus viviparus gn=dicviv_11983 pe=3 sv=1	182	20	5.1E-52	73.75%										
comp16200_c0_seq1|m.26353	tr:a0a0d8xwt8_dicvia0a0d8xwt8 kinase domain protein os=dictyocaulus viviparus gn=dicviv_07137 pe=4 sv=1	215	20	4.0E-89	69.15%										
comp16200_c0_seq3|m.26356	tr:a0a0d8xwt8_dicvia0a0d8xwt8 kinase domain protein os=dictyocaulus viviparus gn=dicviv_07137 pe=4 sv=1	224	20	4.2E-98	68.5%										
comp16200_c0_seq4|m.26358	tr:a0a0d8xwt8_dicvia0a0d8xwt8 kinase domain protein os=dictyocaulus viviparus gn=dicviv_07137 pe=4 sv=1	344	20	5.6E-166	72.2%										
comp16201_c0_seq2|m.26360	tr:u6nmb7_haecou6nmb7 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_113 os=haemonchus contortus gn=hcoi_00268000 pe=4 sv=1	241	7	4.8E-38	72%										
comp16201_c0_seq3|m.26362	tr:u6nmb7_haecou6nmb7 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_113 os=haemonchus contortus gn=hcoi_00268000 pe=4 sv=1	250	7	5.7E-38	72.14%										
comp16201_c0_seq4|m.26364	tr:u6nmb7_haecou6nmb7 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_113 os=haemonchus contortus gn=hcoi_00268000 pe=4 sv=1	354	10	1.9E-79	65.2%										
comp16202_c0_seq2|m.26365	tr:f1kzh9_ascsuf1kzh9 protein fam116b os=ascaris suum pe=2 sv=1	440	20	0.0E0	77.85%										
comp16202_c0_seq3|m.26366	tr:f1kzh9_ascsuf1kzh9 protein fam116b os=ascaris suum pe=2 sv=1	573	20	0.0E0	79.35%										
comp16203_c0_seq1|m.26368	tr:a0a0d8yb56_dicvia0a0d8yb56 dna polymerase epsilon subunit 2 os=dictyocaulus viviparus gn=dicviv_02094 pe=3 sv=1	529	20	0.0E0	77.65%										
comp16204_c0_seq5|m.26371	tr:a8wuv5_caebra8wuv5 protein cbr-ndnf-1 os=caenorhabditis briggsae gn=ndnf-1 pe=4 sv=1	101	17	3.2E-39	69.65%										
comp16206_c0_seq2|m.26375	tr:a0a0c2gu69_9bilaa0a0c2gu69 amidase os=ancylostoma duodenale gn=ancduo_04806 pe=4 sv=1	117	20	9.8E-23	71.75%										
comp16207_c0_seq1|m.26380	tr:w2tbj3_necamw2tbj3 dehydrogenase e1 component os=necator americanus gn=necame_10391 pe=4 sv=1	411	20	9.6E-174	83.6%										
comp16207_c0_seq2|m.26381	tr:a0a0c2duc4_9bilaa0a0c2duc4 2-oxoisovalerate dehydrogenase subunit alpha os=ancylostoma duodenale gn=ancduo_03280 pe=4 sv=1	477	20	0.0E0	83.4%										
comp16207_c0_seq3|m.26382	tr:w2tbj3_necamw2tbj3 dehydrogenase e1 component os=necator americanus gn=necame_10391 pe=4 sv=1	356	20	2.3E-173	84.75%										
comp16207_c0_seq4|m.26383	tr:a0a0c2duc4_9bilaa0a0c2duc4 2-oxoisovalerate dehydrogenase subunit alpha os=ancylostoma duodenale gn=ancduo_03280 pe=4 sv=1	422	20	0.0E0	84.25%										
comp16210_c0_seq1|m.26386	tr:a0a0b1t3c3_oesdea0a0b1t3c3 zinc finger in n-recognin os=oesophagostomum dentatum gn=oesden_08404 pe=4 sv=1	113	18	7.2E-50	68.94%										
comp16210_c0_seq2|m.26387	tr:u6pa22_haecou6pa22 zinc finger domain containing protein os=haemonchus contortus gn=hcoi_01120800 pe=4 sv=1	174	20	1.0E-96	77.4%										
comp16211_c0_seq3|m.26391	tr:u6pcm9_haecou6pcm9 protein os=haemonchus contortus gn=hcoi_01140800 pe=4 sv=1	117	8	3.0E-58	69.25%										
comp16212_c0_seq2|m.26393	tr:a0a0d6mbw4_9bilaa0a0d6mbw4 short chain dehydrogenase reductase family protein os=ancylostoma ceylanicum gn=anccey_02850 pe=4 sv=1	291	20	2.4E-134	84.6%										
comp16213_c0_seq1|m.26394	tr:g0nqn6_caebeg0nqn6 ap-3 complex subunit delta os=caenorhabditis brenneri gn=caebren_20013 pe=3 sv=1	1219	20	0.0E0	78.7%										
comp16214_c0_seq1|m.26396	tr:s6fcy3_caeels6fcy3 flcn- isoform e os=caenorhabditis elegans gn=flcn-1 pe=1 sv=1	562	20	4.8E-143	75.55%										
comp16216_c0_seq1|m.26409	tr:a0a0d8xpb2_dicvia0a0d8xpb2 cyclin protein os=dictyocaulus viviparus gn=dicviv_08294 pe=4 sv=1	588	20	1.1E-150	54.45%										
comp16216_c0_seq2|m.26410	tr:a0a0d8xpb2_dicvia0a0d8xpb2 cyclin protein os=dictyocaulus viviparus gn=dicviv_08294 pe=4 sv=1	253	1	2.1E-4	50%										
comp16216_c0_seq3|m.26411	tr:a0a0d8xpb2_dicvia0a0d8xpb2 cyclin protein os=dictyocaulus viviparus gn=dicviv_08294 pe=4 sv=1	463	13	5.3E-94	57.77%										
comp16217_c0_seq1|m.26412	tr:u6pp95_haecou6pp95 protein mab- isoform b os=haemonchus contortus gn=hcoi_01947200 pe=4 sv=1	437	20	0.0E0	72.2%										
comp16217_c0_seq2|m.26413	tr:u6pp95_haecou6pp95 protein mab- isoform b os=haemonchus contortus gn=hcoi_01947200 pe=4 sv=1	376	20	1.7E-161	72.7%										
comp16217_c0_seq3|m.26414	tr:u6pp95_haecou6pp95 protein mab- isoform b os=haemonchus contortus gn=hcoi_01947200 pe=4 sv=1	459	20	0.0E0	72%										
comp16217_c0_seq5|m.26416	tr:u6pp95_haecou6pp95 protein mab- isoform b os=haemonchus contortus gn=hcoi_01947200 pe=4 sv=1	398	20	2.3E-162	72.65%										
comp16218_c0_seq1|m.26418	tr:w2srt1_necamw2srt1 metalloendopeptidase os=necator americanus gn=necame_04487 pe=3 sv=1	128	20	3.1E-31	75.3%										
comp16219_c0_seq1|m.26420	---NA---	238	0	-	-										
comp16219_c0_seq2|m.26421	---NA---	331	0	-	-										
comp16219_c0_seq3|m.26422	---NA---	257	0	-	-										
comp16222_c0_seq4|m.26432	tr:w2twk7_necamw2twk7 zinc c2h2 type os=necator americanus gn=necame_16507 pe=4 sv=1	107	7	2.5E-32	73%										
comp16223_c0_seq1|m.26436	tr:c7bvm2_angcac7bvm2 lipid binding protein os=angiostrongylus cantonensis gn=lbp-1 pe=2 sv=1	176	20	8.4E-91	80.15%										
comp16224_c0_seq1|m.26437	tr:u6nwn0_haecou6nwn0 cre-fbn-1 protein os=haemonchus contortus gn=hcoi_00640400 pe=4 sv=1	569	9	6.5E-91	64.33%										
comp16228_c0_seq2|m.26450	tr:u6pek4_haecou6pek4 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_441 os=haemonchus contortus gn=hcoi_01568600 pe=4 sv=1	351	20	2.8E-161	66.9%										
comp16228_c0_seq4|m.26453	tr:u6pek4_haecou6pek4 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_441 os=haemonchus contortus gn=hcoi_01568600 pe=4 sv=1	347	20	1.4E-158	66.6%										
