SeqName: ORFS:ptns	Description hits againt uniruniref100	Length	#Hits	e-Value	sim mean										
comp16509_c0_seq2|m.27591	uniref100_u6q0j1 protein n=1 tax=haemonchus contortus =u6q0j1_haeco	221	10	2.0E-15	58.8%										
comp16509_c0_seq3|m.27593	uniref100_u6q0j1 protein n=1 tax=haemonchus contortus =u6q0j1_haeco	291	20	4.4E-56	54.8%										
comp16510_c0_seq2|m.27604	---NA---	360	0	-	-										
comp16510_c0_seq2|m.27603	uniref100_w2shy4 spore coat protein domain protein n=1 tax=necator americanus =w2shy4_necam	628	20	1.5E-149	56.65%										
comp16510_c0_seq2|m.27605	UniRuniref100_A0A0D8 XS34Uncharacterized protein n=1 Tax=Dictyocaulus viviparus RepID=A0A0D8XS34_DICVI	181	1	1.9E-6	60%										
comp16514_c0_seq1|m.27623	n=1 tax=caenorhabditis elegans =q22806_caeel	125	12	6.8E-31	68.83%										
comp16514_c0_seq2|m.27626	---NA---	133	0	-	-										
comp16514_c0_seq2|m.27625	uniref100_a0a0b2 v706sodium-dependent glucose transporter 1 n=1 tax=toxocara canis =a0a0b2v706_toxca	211	17	6.0E-52	61.47%										
comp16515_c0_seq1|m.27627	uniref100_u6pgz0 protein n=1 tax=haemonchus contortus =u6pgz0_haeco	261	20	7.2E-51	50.15%										
comp16515_c0_seq2|m.27628	uniref100_u6pgz0 protein n=1 tax=haemonchus contortus =u6pgz0_haeco	358	20	1.4E-99	50.35%										
comp16515_c0_seq3|m.27629	uniref100_u6pgz0 protein n=1 tax=haemonchus contortus =u6pgz0_haeco	347	20	1.3E-97	49.7%										
comp16516_c0_seq1|m.27630	uniref100_u6pqc7 dzf domain containing protein n=1 tax=haemonchus contortus =u6pqc7_haeco	923	20	0.0E0	69.25%										
comp16516_c0_seq3|m.27631	uniref100_u6pqc7 dzf domain containing protein n=1 tax=haemonchus contortus =u6pqc7_haeco	918	20	0.0E0	69.65%										
comp16516_c0_seq4|m.27632	uniref100_u6pqc7 dzf domain containing protein n=1 tax=haemonchus contortus =u6pqc7_haeco	912	20	0.0E0	69.35%										
comp16516_c0_seq5|m.27633	uniref100_u6pqc7 dzf domain containing protein n=1 tax=haemonchus contortus =u6pqc7_haeco	917	20	0.0E0	69%										
comp16517_c0_seq2|m.27634	---NA---	164	0	-	-										
comp16517_c0_seq3|m.27636	---NA---	162	0	-	-										
comp16518_c0_seq1|m.27637	uniref100_u6p908 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_330 n=1 tax=haemonchus contortus =u6p908_haeco	358	3	2.2E-47	53.33%										
comp16519_c0_seq2|m.27639	uniref100_a0a0d8 y611kinase domain protein n=1 tax=dictyocaulus viviparus =a0a0d8y611_dicvi	262	20	4.0E-146	66.85%										
comp16519_c0_seq3|m.27644	uniref100_a0a0d8 y611kinase domain protein n=1 tax=dictyocaulus viviparus =a0a0d8y611_dicvi	307	20	8.4E-178	66%										
comp16519_c0_seq4|m.27648	uniref100_a0a0d8 y611kinase domain protein n=1 tax=dictyocaulus viviparus =a0a0d8y611_dicvi	398	20	0.0E0	64.8%										
comp16520_c0_seq2|m.27653	---NA---	123	0	-	-										
comp16523_c0_seq1|m.27657	uniref100_a0a016 tbs0serine threonine-protein phosphatase n=1 tax=ancylostoma ceylanicum =a0a016tbs0_9bila	561	20	3.8E-158	68.2%										
comp16523_c0_seq3|m.27662	uniref100_a0a016 tbs0serine threonine-protein phosphatase n=1 tax=ancylostoma ceylanicum =a0a016tbs0_9bila	231	20	6.2E-111	72.7%										
comp16523_c0_seq5|m.27666	uniref100_a0a016 tbs0serine threonine-protein phosphatase n=1 tax=ancylostoma ceylanicum =a0a016tbs0_9bila	266	20	2.4E-131	70.75%										
comp16524_c0_seq1|m.27673	uniref100_u6p7z4 iq calmodulin-binding region domain containing protein n=1 tax=haemonchus contortus =u6p7z4_haeco	635	20	0.0E0	62.25%										
comp16524_c0_seq2|m.27675	uniref100_u6p7z4 iq calmodulin-binding region domain containing protein n=1 tax=haemonchus contortus =u6p7z4_haeco	917	20	0.0E0	59.45%										
comp16526_c0_seq1|m.27680	---NA---	109	0	-	-										
comp16526_c0_seq1|m.27679	uniref100_p90984 trpp-11 n=1 tax=caenorhabditis elegans =p90984_caeel	1085	20	0.0E0	73.35%										
comp16526_c0_seq3|m.27681	uniref100_p90984 trpp-11 n=1 tax=caenorhabditis elegans =p90984_caeel	1082	20	0.0E0	73.45%										
comp16526_c0_seq4|m.27682	uniref100_p90984 trpp-11 n=1 tax=caenorhabditis elegans =p90984_caeel	1016	20	0.0E0	71.7%										
comp16526_c0_seq5|m.27683	uniref100_p90984 trpp-11 n=1 tax=caenorhabditis elegans =p90984_caeel	889	20	0.0E0	72.6%										
comp16526_c0_seq5|m.27684	uniref100_p90984 trpp-11 n=1 tax=caenorhabditis elegans =p90984_caeel	257	20	6.9E-101	80.85%										
comp16526_c0_seq6|m.27685	uniref100_p90984 trpp-11 n=1 tax=caenorhabditis elegans =p90984_caeel	823	20	0.0E0	72.3%										
comp16526_c0_seq7|m.27687	uniref100_p90984 trpp-11 n=1 tax=caenorhabditis elegans =p90984_caeel	892	20	0.0E0	72.55%										
comp16529_c0_seq1|m.27694	uniref100_u6p5q5 cre-ztf-8 protein n=1 tax=haemonchus contortus =u6p5q5_haeco	328	11	1.7E-65	57.27%										
comp16529_c0_seq2|m.27695	uniref100_u6pih5 protein ztf-8 n=1 tax=haemonchus contortus =u6pih5_haeco	126	5	1.0E-15	67.8%										
comp1652_c0_seq1|m.350	UniRuniref100_A0A0D8 YA88Uncharacterized protein n=1 Tax=Dictyocaulus viviparus RepID=A0A0D8YA88_DICVI	110	1	7.1E-5	62%										
comp1652_c0_seq2|m.351	---NA---	103	0	-	-										
comp16531_c0_seq1|m.27696	uniref100_w2t6z9 sgs domain protein n=1 tax=necator americanus =w2t6z9_necam	212	20	1.7E-81	70.9%										
comp16532_c0_seq1|m.27697	uniref100_a0a0d8 xr22immunoglobulin domain protein n=1 tax=dictyocaulus viviparus =a0a0d8xr22_dicvi	1070	20	0.0E0	66.9%										
comp16532_c0_seq2|m.27698	uniref100_a0a0d8 xr22immunoglobulin domain protein n=1 tax=dictyocaulus viviparus =a0a0d8xr22_dicvi	1039	20	0.0E0	66.7%										
comp16533_c0_seq1|m.27699	uniref100_u6p7u3 lysosome-associated membrane glycoprotein cd68 domain containing protein n=1 tax=haemonchus contortus =u6p7u3_haeco	305	20	1.3E-86	56.3%										
comp16534_c0_seq3|m.27704	uniref100_u6pe90 single-stranded nucleic acid binding r3h and dna rna helicase domain containing protein n=1 tax=haemonchus contortus =u6pe90_haeco	535	12	6.4E-107	59.08%										
comp16534_c0_seq4|m.27706	uniref100_u6pe90 single-stranded nucleic acid binding r3h and dna rna helicase domain containing protein n=1 tax=haemonchus contortus =u6pe90_haeco	1085	20	0.0E0	64.1%										
comp16536_c0_seq2|m.27711	UniRuniref100_A0A0D8 Y0U4Uncharacterized protein n=1 Tax=Dictyocaulus viviparus RepID=A0A0D8Y0U4_DICVI	243	7	2.6E-33	56.29%										
comp16536_c0_seq3|m.27713	UniRuniref100_W2TST0 Uncharacterized protein n=1 Tax=Necator americanus RepID=W2TST0_NECAM	106	2	2.6E-6	62%										
comp16537_c0_seq1|m.27714	uniref100_u6pic8 metazoa galactosyltransferase domain containing protein n=1 tax=haemonchus contortus =u6pic8_haeco	407	20	6.8E-113	71%										
comp16537_c0_seq2|m.27716	uniref100_a0a0d6 md30n-acetyllactosaminide 3-alpha-galactosyltransferase n=1 tax=ancylostoma ceylanicum =a0a0d6md30_9bila	118	20	8.6E-26	71.35%										
comp16540_c0_seq1|m.27719	uniref100_a0a0d8 ycd5dynamin family protein n=1 tax=dictyocaulus viviparus =a0a0d8ycd5_dicvi	621	20	0.0E0	87.7%										
comp16540_c0_seq2|m.27721	uniref100_a0a0d8 ycd5dynamin family protein n=1 tax=dictyocaulus viviparus =a0a0d8ycd5_dicvi	747	20	0.0E0	80.35%										
comp16540_c0_seq4|m.27725	uniref100_a0a0d8 ycd5dynamin family protein n=1 tax=dictyocaulus viviparus =a0a0d8ycd5_dicvi	472	20	0.0E0	80%										
comp16540_c0_seq5|m.27727	uniref100_a0a0d8 ycd5dynamin family protein n=1 tax=dictyocaulus viviparus =a0a0d8ycd5_dicvi	513	20	0.0E0	74.1%										
comp16540_c0_seq6|m.27729	uniref100_a0a0d8 ycd5dynamin family protein n=1 tax=dictyocaulus viviparus =a0a0d8ycd5_dicvi	387	20	2.0E-168	86.65%										
comp16541_c0_seq1|m.27732	---NA---	122	0	-	-										
comp16541_c0_seq1|m.27731	uniref100_u6nrp4 zinc finger domain containing protein n=1 tax=haemonchus contortus =u6nrp4_haeco	1824	20	0.0E0	62.45%										
comp16541_c0_seq2|m.27735	uniref100_u6nrp4 zinc finger domain containing protein n=1 tax=haemonchus contortus =u6nrp4_haeco	3656	20	0.0E0	67%										
comp16541_c0_seq3|m.27742	uniref100_u6nrp4 zinc finger domain containing protein n=1 tax=haemonchus contortus =u6nrp4_haeco	1051	20	0.0E0	68.25%										
comp16543_c0_seq1|m.27743	---NA---	125	0	-	-										
comp16544_c0_seq1|m.27744	uniref100_a0a0d8 y8p6heat repeat protein n=1 tax=dictyocaulus viviparus =a0a0d8y8p6_dicvi	1541	20	0.0E0	70.3%										
comp16544_c0_seq2|m.27748	uniref100_u6p692 heat domain containing protein n=1 tax=haemonchus contortus =u6p692_haeco	317	20	2.5E-106	58.8%										
comp16544_c0_seq3|m.27749	uniref100_a0a0d6 lxf4heat repeat protein n=1 tax=ancylostoma ceylanicum =a0a0d6lxf4_9bila	2638	20	0.0E0	72.9%										
comp16544_c0_seq4|m.27752	uniref100_a0a0d6 lxf4heat repeat protein n=1 tax=ancylostoma ceylanicum =a0a0d6lxf4_9bila	1790	20	0.0E0	68.35%										
comp16545_c0_seq1|m.27764	uniref100_a0a0b1 tux6 domain protein n=1 tax=oesophagostomum dentatum =a0a0b1tux6_oesde	732	20	9.8E-176	62.9%										
comp16545_c0_seq4|m.27770	uniref100_a0a0d6 m1l9 domain protein n=1 tax=ancylostoma ceylanicum =a0a0d6m1l9_9bila	498	20	1.3E-141	67.25%										
comp16546_c0_seq2|m.27777	uniref100_u6p7d1 nuclear factor related to kappab binding n=1 tax=haemonchus contortus =u6p7d1_haeco	417	20	0.0E0	73.3%										
comp16546_c0_seq3|m.27778	uniref100_u6p7d1 nuclear factor related to kappab binding n=1 tax=haemonchus contortus =u6p7d1_haeco	423	20	4.7E-180	73.3%										
comp16546_c0_seq4|m.27779	uniref100_u6p7d1 nuclear factor related to kappab binding n=1 tax=haemonchus contortus =u6p7d1_haeco	219	16	1.0E-71	68.5%										
comp16547_c0_seq1|m.27780	uniref100_a8xsm8 protein cbg17947 n=2 tax=caenorhabditis briggsae =a8xsm8_caebr	221	20	1.9E-104	77.55%										
comp16548_c0_seq5|m.27785	uniref100_w6nf00 wgs project cavp0000000 strain ise inbred contig hcontortus_contig_pathogens_hcontortus_scaffold_2879 n=1 tax=haemonchus contortus =w6nf00_haeco	194	6	1.3E-19	49.33%										
comp1654_c0_seq2|m.354	uniref100_a0a016 rvg5acetyl- c-acetyltransferase n=2 tax=ancylostoma ceylanicum =a0a016rvg5_9bila	334	20	5.2E-167	83.7%										
comp16550_c0_seq1|m.27787	uniref100_a0a0d8 ybn9protein-tyrosine-phosphatase n=1 tax=dictyocaulus viviparus =a0a0d8ybn9_dicvi	187	20	1.6E-44	80.25%										
comp16550_c0_seq2|m.27788	uniref100_a0a016 rwu0protein-tyrosine-phosphatase n=2 tax=ancylostoma ceylanicum =a0a016rwu0_9bila	362	20	7.6E-148	77.95%										
comp16550_c0_seq3|m.27789	uniref100_a0a016 rwu0protein-tyrosine-phosphatase n=2 tax=ancylostoma ceylanicum =a0a016rwu0_9bila	234	20	9.4E-71	75.45%										
comp16550_c0_seq4|m.27790	fad fmn-binding protein n=1 tax=ancylostoma ceylanicum =a0a0d6ldg4_9bila	161	20	1.8E-41	76.15%										
comp16550_c0_seq5|m.27791	fad fmn-binding protein n=1 tax=ancylostoma ceylanicum =a0a0d6ldg4_9bila	114	20	2.4E-14	78.85%										
comp16551_c0_seq1|m.27797	uniref100_u6nma9 pleckstrin homology and zinc finger domain containing protein n=1 tax=haemonchus contortus =u6nma9_haeco	394	20	1.2E-112	60.9%										
comp16551_c0_seq2|m.27798	uniref100_u6nma9 pleckstrin homology and zinc finger domain containing protein n=1 tax=haemonchus contortus =u6nma9_haeco	389	20	8.4E-113	61%										
comp16551_c0_seq4|m.27800	uniref100_u6nma9 pleckstrin homology and zinc finger domain containing protein n=1 tax=haemonchus contortus =u6nma9_haeco	738	20	0.0E0	66.6%										
comp16552_c0_seq3|m.27805	uniref100_w2tq71 cdc50 family protein n=1 tax=necator americanus =w2tq71_necam	366	20	9.1E-160	76%										
comp16554_c0_seq3|m.27810	uniref100_u6pwn5 tyrosine protein kinase domain containing protein n=1 tax=haemonchus contortus =u6pwn5_haeco	420	20	5.3E-125	58.1%										
comp16554_c0_seq4|m.27811	uniref100_u6pwn5 tyrosine protein kinase domain containing protein n=1 tax=haemonchus contortus =u6pwn5_haeco	209	20	1.9E-68	63.2%										
comp16554_c0_seq5|m.27812	uniref100_u6pwn5 tyrosine protein kinase domain containing protein n=1 tax=haemonchus contortus =u6pwn5_haeco	157	20	3.1E-54	65.65%										
comp16556_c0_seq1|m.27813	uniref100_u6pgs8 ribosomal protein s9 domain containing protein n=2 tax=haemonchus contortus =u6pgs8_haeco	403	20	4.6E-174	76%										
comp16558_c0_seq1|m.27814	uniref100_u6pcm3 zinc finger domain containing protein n=1 tax=haemonchus contortus =u6pcm3_haeco	991	20	0.0E0	72%										
comp16558_c0_seq5|m.27820	uniref100_u6pcm3 zinc finger domain containing protein n=1 tax=haemonchus contortus =u6pcm3_haeco	1023	20	0.0E0	72.55%										
comp1655_c0_seq1|m.356	uniref100_a0a0d8 y472amino acid permease n=1 tax=dictyocaulus viviparus =a0a0d8y472_dicvi	384	20	4.9E-167	74.45%										
comp16560_c0_seq1|m.27825	---NA---	142	0	-	-										
comp16561_c0_seq1|m.27826	uniref100_u6p3l7 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2085 n=1 tax=haemonchus contortus =u6p3l7_haeco	117	5	1.2E-19	67.8%										
comp16561_c0_seq1|m.27827	uniref100_w2tlr9 ankyrin repeat protein n=1 tax=necator americanus =w2tlr9_necam	111	20	9.6E-49	79.5%										
comp16561_c0_seq2|m.27828	uniref100_w2tlr9 ankyrin repeat protein n=1 tax=necator americanus =w2tlr9_necam	884	20	0.0E0	78.65%										
comp16561_c0_seq3|m.27832	uniref100_w2tlr9 ankyrin repeat protein n=1 tax=necator americanus =w2tlr9_necam	947	20	0.0E0	79.1%										
comp16561_c0_seq4|m.27836	uniref100_w2tlr9 ankyrin repeat protein n=1 tax=necator americanus =w2tlr9_necam	782	20	0.0E0	79.45%										
comp16562_c0_seq1|m.27839	uniref100_u6p2n2 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2210 n=1 tax=haemonchus contortus =u6p2n2_haeco	176	2	2.0E-19	54.5%										
comp16562_c0_seq3|m.27840	uniref100_u6p2n2 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2210 n=1 tax=haemonchus contortus =u6p2n2_haeco	159	2	4.0E-14	63%										
comp16564_c0_seq1|m.27841	uniref100_u6nyz6 gpcr and peptidase m13 domain containing protein n=1 tax=haemonchus contortus =u6nyz6_haeco	801	20	0.0E0	78.65%										
comp16564_c0_seq4|m.27847	uniref100_a0a0d6 lcr3peptidase family m13 n=1 tax=ancylostoma ceylanicum =a0a0d6lcr3_9bila	268	20	2.4E-108	80.15%										
comp16564_c0_seq5|m.27849	uniref100_u6nyz6 gpcr and peptidase m13 domain containing protein n=1 tax=haemonchus contortus =u6nyz6_haeco	181	20	2.4E-75	81.1%										
comp16565_c0_seq1|m.27852	uniref100_a0a0b2 vrg7coiled-coil domain-containing protein n=1 tax=toxocara canis =a0a0b2vrg7_toxca	448	20	1.2E-165	66.05%										
comp16565_c0_seq2|m.27853	uniref100_a8xsd2 protein cbg18297 n=1 tax=caenorhabditis briggsae =a8xsd2_caebr	99	20	9.0E-28	81.55%										
comp16565_c0_seq3|m.27854	uniref100_f1ku95 coiled-coil domain-containing protein 132 n=1 tax=ascaris suum =f1ku95_ascsu	916	20	0.0E0	65.4%										
comp16566_c0_seq1|m.27855	UniRuniref100_A0A0D8 XII2Uncharacterized protein n=1 Tax=Dictyocaulus viviparus RepID=A0A0D8XII2_DICVI	695	4	0.0E0	62%										
comp16566_c0_seq5|m.27863	UniRuniref100_A0A0D8 XII2Uncharacterized protein n=1 Tax=Dictyocaulus viviparus RepID=A0A0D8XII2_DICVI	690	4	0.0E0	62.25%										
comp16568_c0_seq1|m.27867	uniref100_u6pet9 tsc-22 dip bun domain containing protein n=1 tax=haemonchus contortus =u6pet9_haeco	326	20	4.9E-78	73.45%										
comp16568_c0_seq2|m.27869	uniref100_u6pet9 tsc-22 dip bun domain containing protein n=1 tax=haemonchus contortus =u6pet9_haeco	336	20	3.7E-78	73.65%										
comp16568_c0_seq3|m.27870	uniref100_u6pet9 tsc-22 dip bun domain containing protein n=1 tax=haemonchus contortus =u6pet9_haeco	331	20	5.2E-78	73.45%										
comp16569_c0_seq1|m.27872	uniref100_u6pa98 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2997 n=1 tax=haemonchus contortus =u6pa98_haeco	189	3	2.2E-12	48.67%										
comp16569_c0_seq2|m.27873	uniref100_u6q0s0 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_97 n=1 tax=haemonchus contortus =u6q0s0_haeco	169	3	1.6E-14	59.33%										
comp16569_c0_seq3|m.27874	uniref100_u6q0s0 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_97 n=1 tax=haemonchus contortus =u6q0s0_haeco	217	6	5.3E-17	55%										
comp16569_c0_seq4|m.27875	uniref100_u6pa98 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2997 n=1 tax=haemonchus contortus =u6pa98_haeco	288	6	4.4E-27	52.67%										
comp16569_c0_seq5|m.27876	uniref100_u6pa98 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2997 n=1 tax=haemonchus contortus =u6pa98_haeco	118	1	2.8E-4	46%										
comp16569_c0_seq6|m.27877	uniref100_u6q0s0 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_97 n=1 tax=haemonchus contortus =u6q0s0_haeco	240	5	1.2E-14	51.2%										
comp1656_c0_seq2|m.358	uniref100_a0a0d8 x9v97 transmembrane receptor n=1 tax=dictyocaulus viviparus =a0a0d8x9v9_dicvi	103	20	3.1E-48	85.3%										
comp16570_c0_seq1|m.27879	uniref100_w6naw2 aig2 domain containing protein n=1 tax=haemonchus contortus =w6naw2_haeco	200	20	3.5E-73	72.75%										
comp16571_c0_seq1|m.27883	uniref100_u6pdx3 pik-related kinase domain containing protein n=1 tax=haemonchus contortus =u6pdx3_haeco	1124	20	0.0E0	64.35%										
comp16572_c0_seq1|m.27888	uniref100_u6nvq2 copine domain containing protein n=1 tax=haemonchus contortus =u6nvq2_haeco	332	20	7.8E-156	88.95%										
comp16572_c0_seq2|m.27889	uniref100_u6nvq2 copine domain containing protein n=1 tax=haemonchus contortus =u6nvq2_haeco	909	20	0.0E0	73.85%										
comp16572_c0_seq3|m.27891	uniref100_u6nvq2 copine domain containing protein n=1 tax=haemonchus contortus =u6nvq2_haeco	930	20	0.0E0	73.9%										
comp16572_c0_seq4|m.27893	uniref100_a8y136 protein cbr-cpna-1 n=1 tax=caenorhabditis briggsae =a8y136_caebr	105	20	1.1E-28	69.45%										
comp16573_c0_seq1|m.27894	uniref100_u6pu15 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_618 n=1 tax=haemonchus contortus =u6pu15_haeco	740	20	0.0E0	80.5%										
comp16573_c0_seq1|m.27895	---NA---	138	0	-	-										
comp16573_c0_seq10|m.27908	uniref100_u6pu15 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_618 n=1 tax=haemonchus contortus =u6pu15_haeco	693	20	0.0E0	79.8%										
comp16573_c0_seq11|m.27910	uniref100_u6pu15 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_618 n=1 tax=haemonchus contortus =u6pu15_haeco	753	20	0.0E0	78.6%										
comp16573_c0_seq3|m.27896	uniref100_u6pu15 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_618 n=1 tax=haemonchus contortus =u6pu15_haeco	399	20	2.4E-179	80.8%										
comp16573_c0_seq4|m.27897	uniref100_u6pu15 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_618 n=1 tax=haemonchus contortus =u6pu15_haeco	775	20	0.0E0	78.85%										
comp16573_c0_seq5|m.27899	uniref100_u6pu15 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_618 n=1 tax=haemonchus contortus =u6pu15_haeco	762	20	0.0E0	80.65%										
comp16573_c0_seq8|m.27904	uniref100_u6pu15 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_618 n=1 tax=haemonchus contortus =u6pu15_haeco	706	20	0.0E0	78.85%										
comp16574_c0_seq1|m.27912	n=1 tax=caenorhabditis elegans =o17804_caeel	331	12	2.0E-124	58%										
comp16574_c0_seq2|m.27914	UniRuniref100_A0A0D8 XTP6Uncharacterized protein n=1 Tax=Dictyocaulus viviparus RepID=A0A0D8XTP6_DICVI	148	5	2.8E-29	61%										
comp16574_c0_seq3|m.27916	n=1 tax=caenorhabditis elegans =o17804_caeel	162	9	2.7E-55	64.22%										
comp16578_c0_seq1|m.27922	uniref100_u6pa87 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2733 n=1 tax=haemonchus contortus =u6pa87_haeco	193	7	8.6E-42	67.29%										
comp16578_c0_seq2|m.27923	uniref100_u6pa87 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2733 n=1 tax=haemonchus contortus =u6pa87_haeco	190	10	4.0E-59	71.2%										
comp16578_c0_seq6|m.27924	uniref100_u6pa87 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_2733 n=1 tax=haemonchus contortus =u6pa87_haeco	166	7	8.6E-42	71.86%										
comp16579_c0_seq1|m.27925	uniref100_a0a0d6 le05wd g-beta repeat protein n=1 tax=ancylostoma ceylanicum =a0a0d6le05_9bila	485	20	0.0E0	68.45%										
comp16579_c0_seq2|m.27926	uniref100_a0a0d6 le05wd g-beta repeat protein n=1 tax=ancylostoma ceylanicum =a0a0d6le05_9bila	270	20	2.2E-113	72.95%										
comp16579_c0_seq3|m.27927	uniref100_a0a0d6 le05wd g-beta repeat protein n=1 tax=ancylostoma ceylanicum =a0a0d6le05_9bila	1369	20	0.0E0	73.25%										
comp1657_c0_seq1|m.359	uniref100_a0a0d8 xv24non-specific protein-tyrosine kinase n=1 tax=dictyocaulus viviparus =a0a0d8xv24_dicvi	407	20	1.0E-176	72.9%										
comp1657_c0_seq2|m.361	uniref100_a0a0d8 xv24non-specific protein-tyrosine kinase n=1 tax=dictyocaulus viviparus =a0a0d8xv24_dicvi	394	20	2.5E-166	73.5%										
comp16580_c0_seq3|m.27932	uniref100_u6pu74 atpase and haloacid dehalogenase hydrolase domain containing protein n=1 tax=haemonchus contortus =u6pu74_haeco	1253	20	0.0E0	74.2%										
comp16582_c0_seq1|m.27936	briggsae cbr-snf-9 protein n=1 tax=haemonchus contortus =u6npe9_haeco	229	16	2.3E-21	55.19%										
comp16582_c0_seq2|m.27937	briggsae cbr-snf-9 protein n=1 tax=haemonchus contortus =u6npe9_haeco	479	20	7.8E-65	49.65%										
comp16582_c0_seq4|m.27940	briggsae cbr-snf-9 protein n=1 tax=haemonchus contortus =u6npe9_haeco	504	20	6.3E-65	49.45%										
comp16585_c0_seq1|m.27941	uniref100_a0a016 vm85alpha- -mannosidase n=2 tax=ancylostoma ceylanicum =a0a016vm85_9bila	226	20	1.4E-98	82.35%										
comp16585_c0_seq2|m.27942	uniref100_a0a016 vlw8alpha- -mannosidase n=1 tax=ancylostoma ceylanicum =a0a016vlw8_9bila	559	20	0.0E0	78.35%										
comp16585_c0_seq3|m.27944	uniref100_u6p8l9 alpha- -mannosidase n=1 tax=haemonchus contortus =u6p8l9_haeco	497	20	0.0E0	79.05%										
comp16586_c0_seq1|m.27945	uniref100_a0a0d8 x9r6endonuclease exonuclease phosphatase family protein n=1 tax=dictyocaulus viviparus =a0a0d8x9r6_dicvi	237	20	6.3E-75	67.35%										
comp16588_c0_seq1|m.27946	uniref100_w2t2i2 trehalase n=1 tax=necator americanus =w2t2i2_necam	213	20	3.7E-92	77.55%										
comp16588_c0_seq2|m.27947	uniref100_a0a0d8 xtr0trehalase n=1 tax=dictyocaulus viviparus =a0a0d8xtr0_dicvi	658	20	0.0E0	75.3%										
comp16588_c0_seq3|m.27948	uniref100_a0a0d8 xtr0trehalase n=1 tax=dictyocaulus viviparus =a0a0d8xtr0_dicvi	322	20	7.6E-136	76.1%										
comp16588_c0_seq4|m.27949	uniref100_a0a0d8 xtr0trehalase n=1 tax=dictyocaulus viviparus =a0a0d8xtr0_dicvi	549	20	0.0E0	75.7%										
comp16589_c0_seq2|m.27953	uniref100_u6pwn8 pleckstrin g-protein and cyclic nucleotide-binding and ras guanine nucleotide exchange factor and guanine-nucleotide dissociation stimulator cdc25 domain containing protein n=1 tax=haemonchus contortus =u6pwn8_haeco	887	20	0.0E0	75.6%										
comp16589_c0_seq3|m.27957	briggsae cbr-epac-1 protein n=1 tax=caenorhabditis briggsae =upi00002203bd	122	20	1.9E-39	68.3%										
comp16589_c0_seq4|m.27958	uniref100_u6pwn8 pleckstrin g-protein and cyclic nucleotide-binding and ras guanine nucleotide exchange factor and guanine-nucleotide dissociation stimulator cdc25 domain containing protein n=1 tax=haemonchus contortus =u6pwn8_haeco	996	20	0.0E0	73.9%										
comp16589_c0_seq6|m.27962	briggsae cbr-epac-1 protein n=1 tax=caenorhabditis briggsae =upi00002203bd	171	20	4.6E-40	65.75%										
comp16590_c0_seq1|m.27964	uniref100_u6pfq6 zinc finger domain containing protein n=1 tax=haemonchus contortus =u6pfq6_haeco	799	10	2.3E-133	59.8%										
comp16591_c0_seq1|m.27969	uniref100_a0a0b2 v656mini-chromosome maintenance complex-binding protein n=1 tax=toxocara canis =a0a0b2v656_toxca	543	20	0.0E0	66.15%										
comp16591_c0_seq3|m.27974	uniref100_a0a0b2 v656mini-chromosome maintenance complex-binding protein n=1 tax=toxocara canis =a0a0b2v656_toxca	328	16	9.2E-89	60.5%										
comp16593_c0_seq1|m.27983	snf2 family n=1 tax=oesophagostomum dentatum =a0a0b1t8p4_oesde	740	20	3.6E-146	60.3%										
comp16593_c0_seq2|m.27987	uniref100_u6ph27 snf2-related and dna rna helicase domain containing protein n=1 tax=haemonchus contortus =u6ph27_haeco	343	20	2.2E-130	67.1%										
comp16593_c0_seq3|m.27989	uniref100_w6njn3 snf2-related domain containing protein n=1 tax=haemonchus contortus =w6njn3_haeco	125	20	3.5E-32	60.45%										
comp16594_c0_seq2|m.27994	uniref100_w2sk94 phosphatidate cytidylyltransferase n=2 tax=ancylostomatidae =w2sk94_necam	449	20	0.0E0	84.95%										
comp16595_c0_seq2|m.27996	uniref100_a0a0b1 syt4reduced folate carrier n=1 tax=oesophagostomum dentatum =a0a0b1syt4_oesde	426	20	2.6E-159	70.1%										
comp16595_c0_seq3|m.27997	uniref100_a0a0b1 syt4reduced folate carrier n=1 tax=oesophagostomum dentatum =a0a0b1syt4_oesde	305	20	2.5E-75	61.15%										
